name,conda_v,pip_v,pipenv_def_v,pipenv_dev_v
ca-certificates,2019.11.27,-,-,-
certifi,2019.11.28,2019.11.28,-,-
cycler,0.10.0,0.10.0,0.10.0,-
docutils,0.15.2,0.15.2,0.15.2,-
kiwisolver,1.1.0,1.1.0,1.1.0,-
lockfile,0.12.2,0.12.2,0.12.2,-
luigi,2.8.10,2.8.10,2.8.10,-
matplotlib,3.1.2,3.1.2,3.1.2,-
matplotlib-venn,0.11.5,0.11.5,0.11.5,-
numpy,1.17.4,1.17.4,1.17.4,-
openssl,1.1.1d,-,-,-
pandas,0.25.3,0.25.3,0.25.3,-
pip,19.3.1,19.3.1,-,-
pyparsing,2.4.5,2.4.5,2.4.5,2.4.5
python,3.7.5,-,-,-
python-daemon,2.1.2,2.1.2,2.1.2,-
python-dateutil,2.8.1,2.8.1,2.8.0,-
pytz,2019.3,2019.3,2019.3,-
scipy,1.4.0,1.4.0,1.4.0,-
setuptools,42.0.2,42.0.2.post20191203,-,-
six,1.13.0,1.13.0,1.13.0,1.13.0
sqlite,3.30.1,-,-,-
tornado,5.1.1,5.1.1,5.1.1,-
vc,14.1,-,-,-
vs2015_runtime,14.16.27012,-,-,-
wheel,0.33.6,0.33.6,-,-
wincertstore,0.2,0.2,-,-
awscli,-,-,1.16.304,-
boto3,-,-,1.10.40,-
botocore,-,-,1.13.40,-
click,-,-,7.0,-
colorama,-,-,0.4.1,0.4.1
jmespath,-,-,0.9.4,-
onnx,-,-,1.6.0,-
onnx-caffe2,-,-,1.0.0,-
protobuf,-,-,3.11.1,-
pyarrow,-,-,0.15.1,-
pyasn1,-,-,0.4.8,-
pyyaml,-,-,5.1.2,-
rsa,-,-,3.4.2,-
s3transfer,-,-,0.2.1,-
typing-extensions,-,-,3.7.4.1,-
urllib3,-,-,1.25.7,-
xlrd,-,-,1.2.0,-
atomicwrites,-,-,-,1.3.0
attrs,-,-,-,19.3.0
coverage,-,-,-,5.0
importlib-metadata,-,-,-,1.3.0
more-itertools,-,-,-,8.0.2
packaging,-,-,-,19.2
pluggy,-,-,-,0.13.1
py,-,-,-,1.8.0
pytest,-,-,-,5.3.2
pytest-cov,-,-,-,2.8.1
wcwidth,-,-,-,0.1.7
zipp,-,-,-,0.6.0
